,SHAP Impact
total ads,36.33809174173963
most ads hour,0.5676873512759835
most ads day_Monday,0.02375587748967963
most ads day_Saturday,0.018556551841884508
most ads day_Tuesday,0.014777179766946438
most ads day_Friday,0.011989564607288155
most ads day_Thursday,0.010852412585572773
test group,0.005958894312975965
most ads day_Wednesday,0.0030343263321363765
most ads day_Sunday,3.0170723500030717e-05
